Player Team (Bye),Position,Scoring,Original Position,Rank
Kenny Pickett PHI (5),QB,ppr,QB,38
Joshua Dobbs SF (9),QB,ppr,QB,39
Taysom Hill NO (12) O,QB,ppr,QB,40
Tom Brady,QB,ppr,QB,41
Carson Wentz KC (6),QB,ppr,QB,42
Jimmy Garoppolo LAR (6),QB,ppr,QB,43
Hendon Hooker DET (5),QB,ppr,QB,44
Davis Cheek,QB,ppr,QB,45
Michael Pratt TB (11),QB,ppr,QB,46
Tommy DeVito NYG (11),QB,ppr,QB,47
Peewee Jarrett,QB,ppr,QB,48
Austin Aune,QB,ppr,QB,49
Trace McSorley,QB,ppr,QB,50
Sam Howell SEA (10),QB,ppr,QB,51
Zach Wilson DEN (14),QB,ppr,QB,52
Jaren Hall SEA (10),QB,ppr,QB,53
Trey Lance DAL (7),QB,ppr,QB,54
Devin Leary BAL (14),QB,ppr,QB,55
Jarrett Stidham DEN (14),QB,ppr,QB,56
Nathan Rourke,QB,ppr,QB,57
Matt Barkley,QB,ppr,QB,58
Spencer Rattler NO (12),QB,ppr,QB,59
Tyson Bagent CHI (7),QB,ppr,QB,60
Jameis Winston CLE (10),QB,ppr,QB,61
Max Duggan,QB,ppr,QB,62
Cooper Rush DAL (7),QB,ppr,QB,63
Skylar Thompson MIA (6),QB,ppr,QB,64
Jake Browning CIN (12),QB,ppr,QB,65
Joe Milton III NE (14),QB,ppr,QB,66
Ryan Tannehill,QB,ppr,QB,67
Kyle Allen PIT (9),QB,ppr,QB,68
Drew Lock NYG (11),QB,ppr,QB,69
Andy Dalton CAR (11),QB,ppr,QB,70
Tyrod Taylor NYJ (12),QB,ppr,QB,71
Marcus Mariota WAS (14),QB,ppr,QB,72
Brandon Allen SF (9),QB,ppr,QB,73
Mitchell Trubisky BUF (12),QB,ppr,QB,74
P.J. Walker,QB,ppr,QB,75
Mac Jones JAC (12),QB,ppr,QB,76
Bailey Zappe CLE (10),QB,ppr,QB,77
Anthony Brown Jr. ARI (11),QB,ppr,QB,78
Dorian Thompson-Robinson CLE (10),QB,ppr,QB,79
Josh Johnson BAL (14),QB,ppr,QB,80
Taylor Heinicke LAC (5),QB,ppr,QB,81
Jeff Driskel WAS (14),QB,ppr,QB,82
C.J. Beathard JAC (12),QB,ppr,QB,83
Nathan Peterman ATL (12),QB,ppr,QB,84
Nick Mullens MIN (6),QB,ppr,QB,85
Mason Rudolph TEN (5),QB,ppr,QB,86
Mike White BUF (12),QB,ppr,QB,87
Logan Woodside CIN (12),QB,ppr,QB,88
John Wolford JAC (12),QB,ppr,QB,89
Brett Rypien MIN (6),QB,ppr,QB,90
Easton Stick LAC (5),QB,ppr,QB,91
Tyler Huntley MIA (6),QB,ppr,QB,92
Jake Fromm DET (5),QB,ppr,QB,93
Ben DiNucci NO (12),QB,ppr,QB,94
Davis Mills HOU (14),QB,ppr,QB,95
Sam Ehlinger IND (14),QB,ppr,QB,96
Ian Book,QB,ppr,QB,97
Kyle Trask TB (11),QB,ppr,QB,98
Desmond Ridder LV (10),QB,ppr,QB,99
Malik Willis GB (10),QB,ppr,QB,100
Chris Oladokun KC (6),QB,ppr,QB,101
Sean Clifford GB (10),QB,ppr,QB,102
Stetson Bennett LAR (6),QB,ppr,QB,103
Tanner McKee PHI (5),QB,ppr,QB,104
Clayton Tune ARI (11),QB,ppr,QB,105
Adrian Martinez NYJ (12),QB,ppr,QB,106
Jordan Travis NYJ (12),QB,ppr,QB,107
Jack Plummer CAR (11),QB,ppr,QB,108
Austin Reed CHI (7),QB,ppr,QB,109
Jason Bean IND (14),QB,ppr,QB,110
Kedon Slovis HOU (14),QB,ppr,QB,111
Carter Bradley LV (10),QB,ppr,QB,112
John Rhys Plumlee SEA (10),QB,ppr,QB,113
Sam Hartman WAS (14),QB,ppr,QB,114
Casey Bauman,QB,ppr,QB,115
Nate Sudfeld,QB,ppr,QB,116
Luis Perez,QB,ppr,QB,117
Alex McGough GB (10),QB,ppr,QB,118
Tim Boyle NYG (11),QB,ppr,QB,119
Will Grier DAL (7),QB,ppr,QB,120
Jacob Eason,QB,ppr,QB,121
Jake Luton LV (10),QB,ppr,QB,122
Kellen Mond,QB,ppr,QB,123
Matt Corral,QB,ppr,QB,124
E.J. Perry,QB,ppr,QB,125
Dresser Winn,QB,ppr,QB,126
Jake Haener NO (12),QB,ppr,QB,127
Chevan Cordeiro,QB,ppr,QB,128
Emory Jones,QB,ppr,QB,129
Andrew Peasley,QB,ppr,QB,130
John Paddock,QB,ppr,QB,131
Rocky Lombardi,QB,ppr,QB,132
Tanner Mordecai SF (9),QB,ppr,QB,133
Jacob Sirmon,QB,ppr,QB,134
Ben Bryant,QB,ppr,QB,135
