QB,Overall,Player Team (Bye),ESPN,Yahoo,CBS,Sleeper,RTSports,AVG,Position,Scoring,RB,WR,TE
68.0,,Kyle Allen PIT (9),,,,,,55.0,QB,standard,,,
69.0,,Drew Lock NYG (11),,,,,,56.0,QB,standard,,,
70.0,,Andy Dalton CAR (11),,,,,,58.0,QB,standard,,,
71.0,,Tyrod Taylor NYJ (12),,,,,,59.0,QB,standard,,,
72.0,,Marcus Mariota WAS (14),,,,,,60.0,QB,standard,,,
73.0,,Brandon Allen SF (9),,,,,,61.0,QB,standard,,,
74.0,,Mitchell Trubisky BUF (12),,,,,,62.0,QB,standard,,,
75.0,,P.J. Walker,,,,,,63.0,QB,standard,,,
76.0,,Mac Jones JAC (12),,,,,,64.0,QB,standard,,,
77.0,,Bailey Zappe CLE (10),,,,,,65.0,QB,standard,,,
78.0,,Anthony Brown Jr. ARI (11),,,,,,66.0,QB,standard,,,
79.0,,Dorian Thompson-Robinson CLE (10),,,,,,67.0,QB,standard,,,
80.0,,Josh Johnson BAL (14),,,,,,69.0,QB,standard,,,
81.0,,Taylor Heinicke LAC (5),,,,,,70.0,QB,standard,,,
82.0,,Jeff Driskel WAS (14),,,,,,71.0,QB,standard,,,
83.0,,C.J. Beathard JAC (12),,,,,,72.0,QB,standard,,,
84.0,,Nathan Peterman ATL (12),,,,,,73.0,QB,standard,,,
85.0,,Nick Mullens MIN (6),,,,,,74.0,QB,standard,,,
86.0,,Mason Rudolph TEN (5),,,,,,75.0,QB,standard,,,
87.0,,Mike White BUF (12),,,,,,76.0,QB,standard,,,
88.0,,Logan Woodside CIN (12),,,,,,77.0,QB,standard,,,
89.0,,John Wolford JAC (12),,,,,,78.0,QB,standard,,,
90.0,,Brett Rypien MIN (6),,,,,,80.0,QB,standard,,,
91.0,,Easton Stick LAC (5),,,,,,81.0,QB,standard,,,
92.0,,Tyler Huntley MIA (6),,,,,,82.0,QB,standard,,,
93.0,,Jake Fromm DET (5),,,,,,83.0,QB,standard,,,
94.0,,Ben DiNucci NO (12),,,,,,84.0,QB,standard,,,
95.0,,Davis Mills HOU (14),,,,,,85.0,QB,standard,,,
96.0,,Sam Ehlinger IND (14),,,,,,86.0,QB,standard,,,
97.0,,Ian Book,,,,,,87.0,QB,standard,,,
98.0,,Kyle Trask TB (11),,,,,,88.0,QB,standard,,,
99.0,,Desmond Ridder LV (10),,,,,,89.0,QB,standard,,,
100.0,,Malik Willis GB (10),,,,,,90.0,QB,standard,,,
101.0,,Chris Oladokun KC (6),,,,,,92.0,QB,standard,,,
102.0,,Sean Clifford GB (10),,,,,,93.0,QB,standard,,,
103.0,,Stetson Bennett LAR (6),,,,,,95.0,QB,standard,,,
104.0,,Tanner McKee PHI (5),,,,,,97.0,QB,standard,,,
105.0,,Clayton Tune ARI (11),,,,,,98.0,QB,standard,,,
106.0,,Adrian Martinez NYJ (12),,,,,,99.0,QB,standard,,,
107.0,,Jordan Travis NYJ (12),,,,,,102.0,QB,standard,,,
108.0,,Jack Plummer CAR (11),,,,,,103.0,QB,standard,,,
109.0,,Austin Reed CHI (7),,,,,,104.0,QB,standard,,,
110.0,,Jason Bean IND (14),,,,,,105.0,QB,standard,,,
111.0,,Kedon Slovis HOU (14),,,,,,106.0,QB,standard,,,
112.0,,Carter Bradley LV (10),,,,,,107.0,QB,standard,,,
113.0,,John Rhys Plumlee SEA (10),,,,,,108.0,QB,standard,,,
114.0,,Sam Hartman WAS (14),,,,,,109.0,QB,standard,,,
115.0,,Casey Bauman,,,,,,110.0,QB,standard,,,
116.0,,Nate Sudfeld,,,,,,112.0,QB,standard,,,
117.0,,Luis Perez,,,,,,113.0,QB,standard,,,
118.0,,Alex McGough GB (10),,,,,,114.0,QB,standard,,,
119.0,,Tim Boyle NYG (11),,,,,,115.0,QB,standard,,,
120.0,,Will Grier DAL (7),,,,,,116.0,QB,standard,,,
121.0,,Jacob Eason,,,,,,117.0,QB,standard,,,
122.0,,Jake Luton LV (10),,,,,,118.0,QB,standard,,,
123.0,,Kellen Mond,,,,,,119.0,QB,standard,,,
124.0,,Matt Corral,,,,,,121.0,QB,standard,,,
125.0,,E.J. Perry,,,,,,122.0,QB,standard,,,
126.0,,Dresser Winn,,,,,,123.0,QB,standard,,,
127.0,,Jake Haener NO (12),,,,,,124.0,QB,standard,,,
128.0,,Chevan Cordeiro,,,,,,128.0,QB,standard,,,
129.0,,Emory Jones,,,,,,129.0,QB,standard,,,
130.0,,Andrew Peasley,,,,,,130.0,QB,standard,,,
131.0,,John Paddock,,,,,,131.0,QB,standard,,,
132.0,,Rocky Lombardi,,,,,,132.0,QB,standard,,,
133.0,,Tanner Mordecai SF (9),,,,,,133.0,QB,standard,,,
134.0,,Jacob Sirmon,,,,,,134.0,QB,standard,,,
135.0,,Ben Bryant,,,,,,135.0,QB,standard,,,
,1.0,Christian McCaffrey SF (9) O,,,1.0,1.0,1.0,1.0,RB,standard,1.0,,
,6.0,Breece Hall NYJ (12),,,2.0,3.0,2.0,2.3,RB,standard,2.0,,
,5.0,Bijan Robinson ATL (12),,,3.0,2.0,3.0,2.7,RB,standard,3.0,,
,10.0,Saquon Barkley PHI (5),,,4.0,6.0,4.0,4.7,RB,standard,4.0,,
,11.0,Jonathan Taylor IND (14),,,5.0,5.0,5.0,5.0,RB,standard,5.0,,
,12.0,Jahmyr Gibbs DET (5),,,8.0,4.0,6.0,6.0,RB,standard,6.0,,
,16.0,Travis Etienne Jr. JAC (12),,,11.0,7.0,7.0,8.3,RB,standard,7.0,,
,17.0,Kyren Williams LAR (6),,,7.0,8.0,10.0,8.3,RB,standard,8.0,,
,18.0,Derrick Henry BAL (14),,,6.0,9.0,11.0,8.7,RB,standard,9.0,,
,19.0,Josh Jacobs GB (10),,,12.0,11.0,8.0,10.3,RB,standard,10.0,,
,20.0,De'Von Achane MIA (6),,,14.0,10.0,9.0,11.0,RB,standard,11.0,,
,24.0,Isiah Pacheco KC (6),,,10.0,12.0,12.0,11.3,RB,standard,12.0,,
,32.0,James Cook BUF (12),,,9.0,14.0,13.0,12.0,RB,standard,13.0,,
,33.0,Rachaad White TB (11),,,16.0,13.0,14.0,14.3,RB,standard,14.0,,
,44.0,Joe Mixon HOU (14),,,13.0,15.0,17.0,15.0,RB,standard,15.0,,
,43.0,Kenneth Walker III SEA (10),,,15.0,16.0,15.0,15.3,RB,standard,16.0,,
,45.0,Alvin Kamara NO (12),,,19.0,17.0,16.0,17.3,RB,standard,17.0,,
,56.0,James Conner ARI (11),,,17.0,19.0,21.0,19.0,RB,standard,18.0,,
,53.0,Aaron Jones Sr. MIN (6),,,24.0,18.0,20.0,20.7,RB,standard,19.0,,
,55.0,D'Andre Swift CHI (7),,,23.0,21.0,18.0,20.7,RB,standard,20.0,,
,65.0,David Montgomery DET (5),,,18.0,20.0,25.0,21.0,RB,standard,21.0,,
,68.0,Zamir White LV (10) O,,,20.0,24.0,22.0,22.0,RB,standard,22.0,,
,58.0,Rhamondre Stevenson NE (14),,,27.0,22.0,19.0,22.7,RB,standard,23.0,,
,69.0,Najee Harris PIT (9),,,22.0,23.0,24.0,23.0,RB,standard,24.0,,
,76.0,Raheem Mostert MIA (6),,,21.0,25.0,27.0,24.3,RB,standard,25.0,,
,79.0,Tony Pollard TEN (5),,,26.0,26.0,28.0,26.7,RB,standard,26.0,,
,77.0,Javonte Williams DEN (14),,,29.0,30.0,23.0,27.3,RB,standard,27.0,,
,85.0,Zack Moss CIN (12) O,,,28.0,28.0,31.0,29.0,RB,standard,28.0,,
,91.0,Brian Robinson Jr. WAS (14),,,25.0,34.0,29.0,29.3,RB,standard,29.0,,
,84.0,Devin Singletary NYG (11),,,34.0,33.0,26.0,31.0,RB,standard,30.0,,
,94.0,Nick Chubb CLE (10),,,30.0,27.0,37.0,31.3,RB,standard,31.0,,
,87.0,Jaylen Warren PIT (9),,,37.0,31.0,30.0,32.7,RB,standard,32.0,,
,93.0,Austin Ekeler WAS (14),,,33.0,32.0,34.0,33.0,RB,standard,33.0,,
,103.0,Jerome Ford CLE (10),,,32.0,40.0,32.0,34.7,RB,standard,34.0,,
,92.0,Jonathon Brooks CAR (11) O,,,40.0,29.0,36.0,35.0,RB,standard,35.0,,
,114.0,Gus Edwards LAC (5),,,31.0,35.0,43.0,36.3,RB,standard,36.0,,
,105.0,Chase Brown CIN (12),,,36.0,41.0,33.0,36.7,RB,standard,37.0,,
,104.0,Tyjae Spears TEN (5),,,39.0,36.0,35.0,36.7,RB,standard,38.0,,
,116.0,Blake Corum LAR (6),,,41.0,39.0,38.0,39.3,RB,standard,39.0,,
,115.0,Trey Benson ARI (11),,,42.0,37.0,41.0,40.0,RB,standard,40.0,,
,120.0,J.K. Dobbins LAC (5),,,35.0,44.0,42.0,40.3,RB,standard,41.0,,
,113.0,Ezekiel Elliott DAL (7),,,43.0,38.0,40.0,40.3,RB,standard,42.0,,
,118.0,Chuba Hubbard CAR (11),,,44.0,43.0,39.0,42.0,RB,standard,43.0,,
,128.0,Rico Dowdle DAL (7),,,38.0,45.0,44.0,42.3,RB,standard,44.0,,
,133.0,Ty Chandler MIN (6),,,46.0,46.0,45.0,45.7,RB,standard,45.0,,
,127.0,Zach Charbonnet SEA (10),,,51.0,42.0,47.0,46.7,RB,standard,46.0,,
,141.0,Tyler Allgeier ATL (12),,,45.0,48.0,49.0,47.3,RB,standard,47.0,,
,140.0,Jaylen Wright MIA (6),,,50.0,47.0,48.0,48.3,RB,standard,48.0,,
,144.0,Jaleel McLaughlin DEN (14),,,48.0,52.0,46.0,48.7,RB,standard,49.0,,
,149.0,MarShawn Lloyd GB (10),,,47.0,49.0,52.0,49.3,RB,standard,50.0,,
,150.0,Antonio Gibson NE (14),,,53.0,51.0,51.0,51.7,RB,standard,51.0,,
,157.0,Ray Davis BUF (12),,,56.0,54.0,54.0,54.7,RB,standard,52.0,,
,164.0,Bucky Irving TB (11),,,54.0,59.0,53.0,55.3,RB,standard,53.0,,
,168.0,Braelon Allen NYJ (12),,,58.0,55.0,55.0,56.0,RB,standard,54.0,,
,176.0,Tyrone Tracy Jr. NYG (11),,,55.0,56.0,58.0,56.3,RB,standard,55.0,,
,188.0,Jordan Mason SF (9),,,49.0,71.0,50.0,56.7,RB,standard,56.0,,
,177.0,Khalil Herbert CIN (12),,,57.0,58.0,57.0,57.3,RB,standard,57.0,,
,162.0,Kimani Vidal LAC (5),,,,53.0,56.0,54.5,RB,standard,58.0,,
,230.0,Kenneth Gainwell PHI (5),,,59.0,76.0,64.0,66.3,RB,standard,59.0,,
,197.0,Tank Bigsby JAC (12),,,,63.0,60.0,61.5,RB,standard,60.0,,
,204.0,Alexander Mattison LV (10),,,,65.0,62.0,63.5,RB,standard,61.0,,
,211.0,Audric Estime DEN (14),,,,61.0,68.0,64.5,RB,standard,62.0,,
,220.0,Kendre Miller NO (12),,,,50.0,81.0,65.5,RB,standard,63.0,,
,216.0,Roschon Johnson CHI (7),,,,67.0,66.0,66.5,RB,standard,64.0,,
,214.0,Dameon Pierce HOU (14),,,,60.0,74.0,67.0,RB,standard,65.0,,
,228.0,Clyde Edwards-Helaire KC (6),,,,62.0,73.0,67.5,RB,standard,66.0,,
,225.0,Will Shipley PHI (5),,,,64.0,71.0,67.5,RB,standard,67.0,,
,222.0,Jamaal Williams NO (12),,,,75.0,61.0,68.0,RB,standard,68.0,,
,227.0,Justice Hill BAL (14),,,,72.0,65.0,68.5,RB,standard,69.0,,
,242.0,Keaton Mitchell BAL (14),,,,68.0,76.0,72.0,RB,standard,70.0,,
,239.0,Samaje Perine KC (6),,,,86.0,59.0,72.5,RB,standard,71.0,,
,246.0,Dalvin Cook DAL (7),,,,,63.0,63.0,RB,standard,72.0,,
,255.0,Isaac Guerendo SF (9),,,,69.0,80.0,74.5,RB,standard,73.0,,
,253.0,Trey Sermon IND (14),,,,74.0,77.0,75.5,RB,standard,74.0,,
,259.0,Kareem Hunt KC (6),,,,,67.0,67.0,RB,standard,75.0,,
,268.0,D'Onta Foreman CLE (10),,,,70.0,82.0,76.0,RB,standard,76.0,,
,262.0,Dylan Laube LV (10),,,,73.0,79.0,76.0,RB,standard,77.0,,
,264.0,Cam Akers MIN (6),,,,,69.0,69.0,RB,standard,78.0,,
,265.0,Carson Steele KC (6),,,,,70.0,70.0,RB,standard,79.0,,
,272.0,Miles Sanders CAR (11),,,,88.0,72.0,80.0,RB,standard,80.0,,
,288.0,Eric Gray NYG (11),,,,,75.0,75.0,RB,standard,81.0,,
,302.0,Cordarrelle Patterson PIT (9),,,,,78.0,78.0,RB,standard,82.0,,
,313.0,Deuce Vaughn DAL (7),,,,78.0,,78.0,RB,standard,83.0,,
,316.0,Larry Rose III,,,,79.0,,79.0,RB,standard,84.0,,
,318.0,J.J. Taylor HOU (14),,,,80.0,,80.0,RB,standard,85.0,,
,323.0,Rasheen Ali BAL (14),,,,81.0,,81.0,RB,standard,86.0,,
,325.0,Isaiah Bowser,,,,82.0,,82.0,RB,standard,87.0,,
,326.0,Emanuel Wilson GB (10),,,,,83.0,83.0,RB,standard,88.0,,
,331.0,Frank Gore Jr. BUF (12),,,,83.0,,83.0,RB,standard,89.0,,
,333.0,Mark Ingram II,,,,84.0,,84.0,RB,standard,90.0,,
,328.0,Jeff Wilson Jr. MIA (6),,,,,84.0,84.0,RB,standard,91.0,,
,336.0,Evan Hull IND (14),,,,85.0,,85.0,RB,standard,92.0,,
,338.0,Wendell Smallwood,,,,87.0,,87.0,RB,standard,93.0,,
,341.0,James White,,,,89.0,,89.0,RB,standard,94.0,,
,2.0,Tyreek Hill MIA (6),,,1.0,1.0,2.0,1.3,WR,standard,,1.0,
,3.0,CeeDee Lamb DAL (7),,,2.0,2.0,1.0,1.7,WR,standard,,2.0,
,8.0,Amon-Ra St. Brown DET (5),,,3.0,5.0,3.0,3.7,WR,standard,,3.0,
,4.0,Justin Jefferson MIN (6),,,5.0,3.0,4.0,4.0,WR,standard,,4.0,
,7.0,Ja'Marr Chase CIN (12),,,4.0,4.0,5.0,4.3,WR,standard,,5.0,
,9.0,A.J. Brown PHI (5),,,6.0,6.0,6.0,6.0,WR,standard,,6.0,
,13.0,Garrett Wilson NYJ (12),,,8.0,7.0,7.0,7.3,WR,standard,,7.0,
,14.0,Puka Nacua LAR (6),,,7.0,9.0,8.0,8.0,WR,standard,,8.0,
,15.0,Marvin Harrison Jr. ARI (11),,,9.0,8.0,9.0,8.7,WR,standard,,9.0,
,26.0,Deebo Samuel Sr. SF (9),,,10.0,14.0,13.0,12.3,WR,standard,,10.0,
,21.0,Drake London ATL (12),,,17.0,10.0,11.0,12.7,WR,standard,,11.0,
,22.0,Davante Adams NYJ (12),,,18.0,11.0,10.0,13.0,WR,standard,,12.0,
,27.0,Nico Collins HOU (14),,,11.0,16.0,12.0,13.0,WR,standard,,13.0,
,25.0,Chris Olave NO (12),,,16.0,12.0,15.0,14.3,WR,standard,,14.0,
,34.0,Brandon Aiyuk SF (9) O,,,13.0,13.0,20.0,15.3,WR,standard,,15.0,
,37.0,Mike Evans TB (11),,,12.0,15.0,23.0,16.7,WR,standard,,16.0,
,36.0,Cooper Kupp LAR (6),,,15.0,20.0,16.0,17.0,WR,standard,,17.0,
,42.0,DK Metcalf SEA (10),,,14.0,21.0,17.0,17.3,WR,standard,,18.0,
,40.0,DJ Moore CHI (7),,,20.0,19.0,18.0,19.0,WR,standard,,19.0,
,39.0,Jaylen Waddle MIA (6),,,23.0,18.0,19.0,20.0,WR,standard,,20.0,
,41.0,Stefon Diggs HOU (14) O,,,26.0,17.0,21.0,21.3,WR,standard,,21.0,
,47.0,DeVonta Smith PHI (5),,,19.0,24.0,22.0,21.7,WR,standard,,22.0,
,35.0,Michael Pittman Jr. IND (14),,,29.0,23.0,14.0,22.0,WR,standard,,23.0,
,46.0,Malik Nabers NYG (11),,,27.0,22.0,24.0,24.3,WR,standard,,24.0,
,54.0,Amari Cooper BUF (12),,,21.0,27.0,27.0,25.0,WR,standard,,25.0,
,57.0,George Pickens PIT (9),,,22.0,29.0,26.0,25.7,WR,standard,,26.0,
,59.0,Tee Higgins CIN (12),,,24.0,28.0,29.0,27.0,WR,standard,,27.0,
,61.0,Tank Dell HOU (14),,,25.0,26.0,33.0,28.0,WR,standard,,28.0,
,60.0,Zay Flowers BAL (14),,,28.0,25.0,31.0,28.0,WR,standard,,29.0,
,67.0,Rashee Rice KC (6) O,,,31.0,38.0,25.0,31.3,WR,standard,,30.0,
,63.0,Terry McLaurin WAS (14),,,34.0,32.0,28.0,31.3,WR,standard,,31.0,
,70.0,Christian Kirk JAC (12) O,,,35.0,31.0,30.0,32.0,WR,standard,,32.0,
,81.0,Jayden Reed GB (10),,,30.0,34.0,37.0,33.7,WR,standard,,33.0,
,80.0,Calvin Ridley TEN (5),,,32.0,37.0,34.0,34.3,WR,standard,,34.0,
,75.0,Chris Godwin TB (11) O,,,37.0,36.0,32.0,35.0,WR,standard,,35.0,
,73.0,Keenan Allen CHI (7),,,41.0,30.0,35.0,35.3,WR,standard,,36.0,
,82.0,Xavier Worthy KC (6),,,36.0,35.0,38.0,36.3,WR,standard,,37.0,
,98.0,Christian Watson GB (10),,,33.0,44.0,40.0,39.0,WR,standard,,38.0,
,86.0,Diontae Johnson BAL (14),,,39.0,42.0,36.0,39.0,WR,standard,,39.0,
,89.0,Rome Odunze CHI (7),,,42.0,33.0,44.0,39.7,WR,standard,,40.0,
,100.0,DeAndre Hopkins KC (6),,,38.0,45.0,41.0,41.3,WR,standard,,41.0,
,95.0,Jaxon Smith-Njigba SEA (10),,,47.0,46.0,39.0,44.0,WR,standard,,42.0,
,110.0,Courtland Sutton DEN (14),,,40.0,49.0,43.0,44.0,WR,standard,,43.0,
,99.0,Ladd McConkey LAC (5),,,48.0,40.0,45.0,44.3,WR,standard,,44.0,
,109.0,Jameson Williams DET (5),,,43.0,48.0,42.0,44.3,WR,standard,,45.0,
,108.0,Keon Coleman BUF (12),,,44.0,43.0,47.0,44.7,WR,standard,,46.0,
,106.0,Marquise Brown KC (6),,,45.0,41.0,49.0,45.0,WR,standard,,47.0,
,101.0,Jordan Addison MIN (6),,,50.0,39.0,48.0,45.7,WR,standard,,48.0,
,112.0,Brian Thomas Jr. JAC (12),,,46.0,47.0,46.0,46.3,WR,standard,,49.0,
,119.0,Romeo Doubs GB (10),,,51.0,51.0,50.0,50.7,WR,standard,,50.0,
,123.0,Khalil Shakir BUF (12),,,49.0,54.0,51.0,51.3,WR,standard,,51.0,
,130.0,Joshua Palmer LAC (5),,,52.0,56.0,52.0,53.3,WR,standard,,52.0,
,121.0,Curtis Samuel BUF (12),,,59.0,50.0,53.0,54.0,WR,standard,,53.0,
,137.0,Jakobi Meyers LV (10),,,53.0,55.0,55.0,54.3,WR,standard,,54.0,
,134.0,Tyler Lockett SEA (10),,,56.0,52.0,57.0,55.0,WR,standard,,55.0,
,138.0,Jerry Jeudy CLE (10),,,54.0,58.0,54.0,55.3,WR,standard,,56.0,
,142.0,Mike Williams PIT (9),,,58.0,57.0,56.0,57.0,WR,standard,,57.0,
,152.0,Brandin Cooks DAL (7),,,55.0,62.0,62.0,59.7,WR,standard,,58.0,
,147.0,Gabe Davis JAC (12) O,,,61.0,61.0,58.0,60.0,WR,standard,,59.0,
,145.0,Adonai Mitchell IND (14),,,63.0,53.0,65.0,60.3,WR,standard,,60.0,
,151.0,Rashid Shaheed NO (12) O,,,57.0,60.0,64.0,60.3,WR,standard,,61.0,
,153.0,Dontayvion Wicks GB (10),,,60.0,64.0,59.0,61.0,WR,standard,,62.0,
,160.0,Adam Thielen CAR (11),,,64.0,68.0,60.0,64.0,WR,standard,,63.0,
,169.0,Darnell Mooney ATL (12),,,62.0,69.0,63.0,64.7,WR,standard,,64.0,
,161.0,Xavier Legette CAR (11),,,,59.0,67.0,63.0,WR,standard,,65.0,
,167.0,Ja'Lynn Polk NE (14),,,,63.0,66.0,64.5,WR,standard,,66.0,
,174.0,Josh Downs IND (14),,,,66.0,68.0,67.0,WR,standard,,67.0,
,173.0,Michael Wilson ARI (11),,,,74.0,61.0,67.5,WR,standard,,68.0,
,189.0,Jahan Dotson PHI (5),,,,65.0,73.0,69.0,WR,standard,,69.0,
,187.0,Quentin Johnston LAC (5),,,,71.0,70.0,70.5,WR,standard,,70.0,
,191.0,DeMario Douglas NE (14),,,,72.0,71.0,71.5,WR,standard,,71.0,
,207.0,Jermaine Burton CIN (12),,,,75.0,74.0,74.5,WR,standard,,72.0,
,205.0,Troy Franklin DEN (14),,,,70.0,80.0,75.0,WR,standard,,73.0,
,213.0,Luke McCaffrey WAS (14),,,,76.0,76.0,76.0,WR,standard,,74.0,
,221.0,Ricky Pearsall SF (9),,,,67.0,86.0,76.5,WR,standard,,75.0,
,215.0,Marvin Mims Jr. DEN (14),,,,78.0,75.0,76.5,WR,standard,,76.0,
,217.0,Wan'Dale Robinson NYG (11),,,,82.0,72.0,77.0,WR,standard,,77.0,
,233.0,Roman Wilson PIT (9),,,,73.0,85.0,79.0,WR,standard,,78.0,
,224.0,Rashod Bateman BAL (14),,,,77.0,81.0,79.0,WR,standard,,79.0,
,231.0,Greg Dortch ARI (11),,,,81.0,78.0,79.5,WR,standard,,80.0,
,234.0,Jalen McMillan TB (11),,,,83.0,79.0,81.0,WR,standard,,81.0,
,245.0,Demarcus Robinson LAR (6),,,,80.0,88.0,84.0,WR,standard,,82.0,
,247.0,Tyler Boyd TEN (5),,,,86.0,83.0,84.5,WR,standard,,83.0,
,254.0,Jalen Tolbert DAL (7),,,,88.0,82.0,85.0,WR,standard,,84.0,
