Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC,Position,Scoring
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,,
128,Feleipe Franks (CAR),0,2,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,TE,standard
129,Tyler Mabry (SEA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
130,Qadir Ismail (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
131,Mitchell Wilcox (NE),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
132,Shawn Bowman (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
133,Dalton Keene (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
134,Stephen Sullivan (CAR),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
135,Jake Tonges (SF),0,0,0,0.0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%,TE,standard
136,Leroy Watson IV (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,standard
137,Rodney Williams (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,standard
138,Zaire Mitchell-Paden (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
139,Cole Fotheringham (LV),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
140,Ko Kieft (TB),0,0,0,0.0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%,TE,standard
141,Nick Muse (MIN),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,standard
142,Justin Shorter (LV),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%,TE,standard
143,Nikola Kalinic (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
144,McCallan Castles (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
145,Teagan Quitoriano (HOU),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%,TE,standard
146,Armani Rogers (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
147,Cameron Latu (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
148,Tanner McLachlan (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
149,Jelani Woods (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.1%,TE,standard
150,E.J. Jenkins (PHI),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,standard
151,Travis Vokolek (ARI),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
152,Tanner Taula (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
153,Jordan Murray (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
154,Princeton Fant (DAL),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,standard
155,John Stephens Jr. (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
156,Brady Russell (SEA),0,0,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,TE,standard
157,Thomas Odukoya (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
158,Zack Kuntz (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
159,Brayden Willis (SF),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,TE,standard
160,Joel Wilson (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
161,Dominique Dafney (CAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
162,Devin Culp (TB),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,TE,standard
163,Tre' McKitty (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
164,Messiah Swinson (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
165,Cam Grandy (CIN),1,1,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,standard
166,Bernhard Seikovits (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
167,Michael Jacobson (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
168,Cole Turner (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
169,Brenden Bates (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,standard
170,Jack Westover (NE),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
171,Baylor Cupp (KC),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
172,James Mitchell (DET),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
173,Sammis Reyes (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
174,Dominique Curry (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
175,Drake Dunsmore (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
176,Jordan Matthews (CAR),0,1,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,standard
177,Derek Fine (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
178,Darnell Dinkins (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
179,J.P. Foschi (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
180,Joey Haynos (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
181,Brad Cottam (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
182,James Dearth (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
183,Marquez Branson (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
184,Keith Zinger (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
185,Justin Snow (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
186,Robert Tonyan (FA),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,TE,standard
187,Anthony Firkser (KC),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,standard
188,Zach Wood (NO),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,TE,standard
189,Patrick Scales (CHI),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
190,Tyler Ott (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,standard
191,James Winchester (KC),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,standard
192,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,TE,standard
193,Tyler Higbee (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,TE,standard
194,C.J. Uzomah (PHI),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,standard
