Unnamed: 0_level_0,Unnamed: 1_level_0,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC,Position,Scoring
Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,,
59,Nick Mullens (MIN),2,2,100.0,38,19.0,0,0,0,3,-2,0,0,4,1.4,0.4,0.1%,QB,half-ppr
60,Trey Lance (DAL),4,6,66.7,21,3.5,0,1,2,4,14,0,0,2,1.2,0.6,0.9%,QB,half-ppr
61,Kyle Allen (PIT),1,1,100.0,19,19.0,0,0,0,0,0,0,0,1,0.8,0.8,0.0%,QB,half-ppr
62,Josh Johnson (BAL),1,1,100.0,1,1.0,0,0,0,3,2,0,0,3,0.2,0.1,0.1%,QB,half-ppr
63,Kenny Pickett (PHI),1,3,33.3,5,1.7,0,0,1,3,-1,0,0,3,0.1,0.0,0.2%,QB,half-ppr
64,Zach Wilson (DEN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB,half-ppr
65,Sam Ehlinger (IND),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
66,Kyle Trask (TB),1,1,100.0,5,5.0,0,0,0,2,-2,0,0,2,0.0,0.0,0.0%,QB,half-ppr
67,Ben DiNucci (NO),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
68,Shane Buechele (BUF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
69,Jake Luton (LV),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,half-ppr
70,Sean Clifford (GB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
71,Feleipe Franks (CAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,QB,half-ppr
72,Michael Pratt (TB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
