Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC,Position,Scoring
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,,
169,Brenden Bates (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,ppr
170,Jack Westover (NE),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
171,Baylor Cupp (KC),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
172,James Mitchell (DET),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
173,Sammis Reyes (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
174,Dominique Curry (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
175,Drake Dunsmore (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
176,Jordan Matthews (CAR),0,1,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,TE,ppr
177,Derek Fine (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
178,Darnell Dinkins (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
179,J.P. Foschi (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
180,Joey Haynos (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
181,Brad Cottam (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
182,James Dearth (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
183,Marquez Branson (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
184,Keith Zinger (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
185,Justin Snow (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
186,Robert Tonyan (FA),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,TE,ppr
187,Anthony Firkser (KC),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,ppr
188,Zach Wood (NO),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,TE,ppr
189,Patrick Scales (CHI),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
190,Tyler Ott (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE,ppr
191,James Winchester (KC),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE,ppr
192,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,TE,ppr
193,Tyler Higbee (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.2%,TE,ppr
194,C.J. Uzomah (PHI),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,TE,ppr
